# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
11,2,2.5,8.976123433266821e-31,4.7587007571835016e-07,0.0,0
12,2,2.5,-7.920556704414685e-31,4.723788763172686e-07,0.0,0
13,2,2.5,7.049625701612218e-31,4.6971077739239945e-07,0.0,0
14,2,2.5,-6.323245525275532e-31,4.676243640632321e-07,0.0,0
15,2,2.5,5.711064473766305e-31,4.659611101003187e-07,0.0,0
16,2,2.5,-5.190075847491834e-31,4.6461328556011883e-07,0.0,0
17,2,2.5,4.742709057458882e-31,4.6350552957006914e-07,0.0,0
18,2,2.5,-4.355410368176901e-31,4.625838014021659e-07,0.0,0
19,2,2.5,4.017611488448809e-31,4.618085074170756e-07,0.0,0
20,2,2.5,-3.7209830310324914e-31,4.611500881364938e-07,0.0,0
21,2,2.5,3.458891918671115e-31,4.6058610569688506e-07,0.0,0
22,2,2.5,-3.2260038962169084e-31,4.6009927441574385e-07,0.0,0
23,2,2.5,3.0179895598662885e-31,4.596761001662543e-07,0.0,0
24,2,2.5,-2.831304728946325e-31,4.5930592215391195e-07,0.0,0
25,2,2.5,2.6630246815178832e-31,4.589802263489804e-07,0.0,0
26,2,2.5,-2.5107177882134667e-31,4.58692145832529e-07,0.0,0
27,2,2.5,2.3723482562518897e-31,4.5843609198301453e-07,0.0,0
28,2,2.5,-2.246200584642477e-31,4.5820747869835414e-07,0.0,0
29,2,2.5,2.1308203779949483e-31,4.5800251372592996e-07,0.0,0
30,2,2.5,-2.024967587813756e-31,4.578180390388645e-07,0.0,0
31,2,2.5,1.92757928856484e-31,4.5765140749457687e-07,0.0,0
32,2,2.5,-1.837739824358526e-31,4.5750038663531943e-07,0.0,0
33,2,2.5,1.7546567015210137e-31,4.5736308300471906e-07,0.0,0
34,2,2.5,-1.6776409912088042e-31,4.572378821221736e-07,0.0,0
35,2,2.5,1.6060913025885431e-31,4.57123400515279e-07,0.0,0
36,2,2.5,-1.5394805976602378e-31,4.570184471164414e-07,0.0,0
37,2,2.5,1.477345283265895e-31,4.569219919891189e-07,0.0,0
38,2,2.5,-1.419276141379817e-31,4.5683314083374216e-07,0.0,0
39,2,2.5,1.3649107477733243e-31,4.567511140829058e-07,0.0,0
40,2,2.5,-1.3139271077402716e-31,4.566752296645634e-07,0.0,0
41,2,2.5,1.266038286801312e-31,4.566048887150783e-07,0.0,0
